timestamp,heart_rate,spo2,bp_systolic,bp_diastolic,vibration,distress_label
0.0,74.80517380164542,98.08031613751652,123.33419279239651,80.0056627872471,0.05336439342413767,0.0
1.0,74.84853982834272,97.79909471343662,116.89117288929423,80.99805380063832,0.030344399038081213,0.0
2.0,74.00581586471321,98.30339035747845,120.58769949895273,79.00056213240484,0.08936547578783477,0.0
3.0,76.3268168474424,97.91347336239279,121.01971338990512,80.27616642824238,0.034171896645403294,0.0
4.0,75.77295354777722,98.08779522584577,122.00279690023505,79.01482013178628,0.21255874909615258,0.0
5.0,73.84061138630823,97.75869485428734,119.21557115452852,79.59896241350185,0.07072752307116946,0.0
6.0,75.34115135041377,98.14268420503045,120.18890818064091,80.55865299788252,0.08642081348472465,0.0
7.0,76.25335389654295,97.8559710202477,118.63218306476278,78.39354551590168,0.18574964016470233,0.0
8.0,75.74710160729718,97.70360974145007,124.4040239234428,80.03742430750042,0.06115604729561157,0.0
9.0,75.22964679519642,98.09063378771884,120.25499955595184,81.32694485066877,0.14112700986800125,0.0
10.0,73.09542896045963,97.97729532773104,118.64110663268245,81.7804342972592,0.1727225299921131,0.0
11.0,76.00633214105056,97.82412696418035,115.33567044279198,80.02811313451494,0.125874638125158,0.0
12.0,75.2298677230022,98.01390157087637,119.91250119742587,81.7614950960838,0.17806444572820768,0.0
13.0,74.7751496872681,98.1461486853082,122.05247821042676,80.25072718345187,0.01819755493051496,0.0
14.0,75.2590509023721,97.46872360826264,117.53203794983683,85.4232906263714,-0.010394060507998959,0.0
15.0,76.3732150948496,97.87946826399364,119.42405924036726,79.7876675198378,-0.023434475218747572,0.0
16.0,74.37358735341664,98.136728992304,123.28469746891636,79.21927599563682,0.21521951602150924,0.0
17.0,74.81225513335855,98.37855673292165,116.10251734715531,80.98005092036038,0.12382458558571789,0.0
18.0,75.85062663195997,98.2807254025586,122.18777644344804,79.55141876911316,0.12950581113009133,0.0
19.0,76.25830018437537,97.92461913305888,119.9843179767868,81.11434616845139,0.14038033016083307,0.0
20.0,75.35996652440046,98.01407930731051,117.00839527810275,82.56763836105712,0.10991987185370716,0.0
21.0,75.1267976374282,98.05366197144114,119.72749938888845,78.94206737435178,0.09187809437146043,0.0
